ticker,value_score,company_name,mcap_billions
ANGH,29.5,Anghami Inc.,0.035624996
ANGHW,12.5,Anghami Inc.,0.0
ANGI,29.5,Angi Inc.,0.319314272
ANGL,0.0,VanEck Fallen Angel High Yield Bond ETF,0.0
ANGO,29.5,"AngioDynamics, Inc.",0.448723424
ANIK,12.5,"Anika Therapeutics, Inc.",0.23073952
ANIP,12.5,"ANI Pharmaceuticals, Inc.",1.84094592
ANIX,29.0,"Anixa Biosciences, Inc.",0.097566072
ANL,12.5,Adlai Nortye Ltd.,0.849765888
ANNA,12.5,"AleAnna, Inc.",0.148001968
ANNAW,25.0,"AleAnna, Inc.",0.0
ANNX,12.5,"Annexon, Inc.",1.049502144
ANPA,0.0,Rich Sparkle Holdings Limited,0.126703728
ANSC,41.5,Agriculture & Natural Solutions Acquisition Corporation,0.469068288
ANSCU,41.5,Agriculture & Natural Solutions Acquisition Corporation,0.0
ANSCW,41.5,Agriculture & Natural Solutions Acquisition Corporation,0.0
ANTA,54.0,ANTA,0.2231304
ANTX,0.0,"AN2 Therapeutics, Inc.",0.129777016
ANV,0.0,Graniteshares Autocallable Nvda ETF,0.0
ANY,29.5,Sphere 3D Corp.,0.005782167
AOHY,0.0,Angel Oak High Yield Opportunities ETF,0.0
AOSL,42.0,Alpha and Omega Semiconductor Limited,1.008296768
AOTG,0.0,AOT Growth and Innovation ETF,0.0
AOUT,42.0,"American Outdoor Brands, Inc.",0.121297168
APA,46.0,APA Corporation,12.630531072
APAC,12.5,StoneBridge Acquisition II Corporation,0.080950176
APACR,12.5,StoneBridge Acquisition II Corporation,0.0
APACU,12.5,StoneBridge Acquisition II Corporation,0.0
APAD,12.5,A Paradise Acquisition Corp.,0.280301344
APADR,12.5,A Paradise Acquisition Corp.,0.0
APADU,12.5,A Paradise Acquisition Corp.,0.0
APC,29.5,ARKO Petroleum Corp.,1.497823872
APEI,0.0,"American Public Education, Inc.",1.115715968
APGE,12.5,"Apogee Therapeutics, Inc.",6.877903872
API,54.0,"Agora, Inc.",0.3593
APLD,0.0,Applied Digital Corporation,9.010313216
APLM,12.5,"Apollomics, Inc.",0.029844758
APLMW,12.5,"Apollomics, Inc.",0.038469816
APLS,0.0,"Apellis Pharmaceuticals, Inc.",5.228722688
APM,25.0,Aptorum Group Limited,0.007211297
APOG,17.0,"Apogee Enterprises, Inc.",0.776974848
APP,41.5,AppLovin Corporation,161.27213568
APPF,25.0,"AppFolio, Inc.",5.631344128
APPN,12.5,Appian Corporation,1.594572032
APPS,33.5,"Digital Turbine, Inc.",0.449624768
APPX,0.0,Tradr 2X Long APP Daily ETF,0.0
APRE,12.5,"Aprea Therapeutics, Inc.",0.011452453
APVO,25.0,Aptevo Therapeutics Inc.,0.006239513
APWC,58.5,Asia Pacific Wire & Cable Corporation Limited,0.05607614
APXT,12.5,Apex Treasury Corporation,0.459140384
APXTU,12.5,Apex Treasury Corporation,0.0
APXTW,12.5,Apex Treasury Corporation,0.0
APYX,16.5,Apyx Medical Corporation,0.16648032
AQB,12.5,"AquaBounty Technologies, Inc.",0.00504529
AQMS,41.5,"Aqua Metals, Inc.",0.014742658
AQST,12.5,"Aquestive Therapeutics, Inc.",0.527234624
AQWA,0.0,Global X Clean Water ETF,0.0
ARAI,0.0,ARAI,0.0
ARAY,29.5,Accuray Incorporated,0.052466288
ARBB,42.0,ARB IOT Group Limited,0.007272854
ARBE,0.0,Arbe Robotics Ltd.,0.102449336
ARBEW,12.5,Arbe Robotics Ltd.,0.0
ARBK,29.5,Argo Blockchain plc,0.000984232
ARCB,46.0,ArcBest Corporation,2.670707456
ARCC,12.5,Ares Capital Corporation,13.707056128
ARCI,12.5,Archimedes Tech SPAC Partners III Co.,0.348564864
ARCIU,12.5,Archimedes Tech SPAC Partners III Co.,0.0
ARCIW,12.5,Archimedes Tech SPAC Partners III Co.,0.0
ARCT,25.0,Arcturus Therapeutics Holdings Inc.,0.25154416
ARDX,0.0,"Ardelyx, Inc.",1.581845888
AREB,12.5,"American Rebel Holdings, Inc.",0.022297762
AREBW,12.5,"American Rebel Holdings, Inc.",0.0
AREC,12.5,American Resources Corporation,0.241117728
ARGX,25.0,argenx SE,53.060726784
ARHS,29.5,"Arhaus, Inc.",1.105907072
ARKO,17.0,Arko Corp.,0.749929152
ARKR,46.0,Ark Restaurants Corp.,0.025351292
ARLP,87.5,"Alliance Resource Partners, L.P.",3.213896704
ARM,12.5,Arm Holdings plc,177.067016192
ARMG,0.0,Leverage Shares 2X Long ARM Daily ETF,0.0
ARMY,0.0,Tema International Defense Innovation ETF,0.0
AROW,41.5,Arrow Financial Corporation,0.617040064
ARQ,42.0,"Arq, Inc.",0.095553832
ARQQ,12.5,Arqit Quantum Inc.,0.250899312
ARQQW,25.0,Arqit Quantum Inc.,0.0
ARQT,0.0,"Arcutis Biotherapeutics, Inc.",3.042539008
ARRY,46.0,"Array Technologies, Inc.",1.19833664
ARTC,12.5,Art Technology Acquisition Corp.,0.29961616
ARTCU,12.5,Art Technology Acquisition Corp.,0.0
ARTCW,12.5,Art Technology Acquisition Corp.,0.0
ARTL,12.5,"Artelo Biosciences, Inc.",0.00416531
ARTNA,12.5,Artesian Resources Corporation,0.333891424
ARTV,12.5,"Artiva Biotherapeutics, Inc.",0.31019424
ARTW,42.0,"Art's-Way Manufacturing Co., Inc.",0.01482648
ARVN,12.5,"Arvinas, Inc.",0.706467264
ARVR,0.0,First Trust Indxx Metaverse ETF,0.0
ARWR,12.5,"Arrowhead Pharmaceuticals, Inc.",9.733638144
ARXS,0.0,"Arxis, Inc. Class A Common Stock",15.259531264
ASBP,12.5,"Aspire Biopharma Holdings, Inc.",0.001355006
ASBPW,12.5,"Aspire Biopharma Holdings, Inc.",0.0
ASCI,0.0,abrdn International Small Cap Active ETF,0.0
ASLE,71.0,AerSale Corporation,0.327856832
ASMB,12.5,"Assembly Biosciences, Inc.",0.463825504
ASMG,0.0,Leverage Shares 2X Long ASML Daily ETF,0.0
ASML,54.0,ASML Holding N.V.,573.203152896
ASMU,0.0,Direxion Daily ASML Bull 2X ETF,0.0
ASND,12.5,Ascendis Pharma A/S,15.009398784
ASO,46.0,"Academy Sports and Outdoors, Inc.",3.909524736
ASPC,0.0,A SPAC III Acquisition Corp.,0.025736778
ASPCR,12.5,A SPAC III Acquisition Corp.,0.0
ASPCU,0.0,A SPAC III Acquisition Corp.,0.0
ASPI,0.0,ASP Isotopes Inc.,0.676101504
ASPS,46.0,Altisource Portfolio Solutions S.A.,0.07895264
ASPSW,12.5,Altisource Portfolio Solutions S.A.,0.0
ASPSZ,12.5,Altisource Portfolio Solutions S.A.,0.0
ASRT,58.5,"Assertio Holdings, Inc.",0.116257448
ASRV,75.0,"AmeriServ Financial, Inc.",0.066839216
ASST,25.0,"Strive Asset Management, LLC",1.088310912
ASTC,25.0,Astrotech Corporation,0.005013018
ASTE,17.0,"Astec Industries, Inc.",1.363492736
ASTH,17.0,"Astrana Health, Inc.",1.754976256
ASTI,29.0,ASTI,0.0
